#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"Path","ClientComputerName","ClientUserName"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHEXTRACT","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHEXTRACT","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\DAILY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHEXTRACT","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\WEEKLY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\DAILY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHEXTRACT","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\WEEKLY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\DAILY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHEXTRACT","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\WEEKLY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\DAILY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHEXTRACT","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\WEEKLY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\DAILY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHEXTRACT","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\WEEKLY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHEXTRACT","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHEXTRACT","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\DAILY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHEXTRACT","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\WEEKLY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\DAILY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHEXTRACT","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\WEEKLY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\DAILY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHEXTRACT","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\WEEKLY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\DAILY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHEXTRACT","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\WEEKLY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\DAILY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHEXTRACT","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\WEEKLY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHEXTRACT","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHEXTRACT","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHEXTRACT","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHEXTRACT","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\WEEKLY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\DAILY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHEXTRACT","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Weekly","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\Job_Control\Daily","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\WEEKLY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_PROD_01\RMJ\JOB_CONTROL\DAILY","10.64.194.150","UK\zz_redwood"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_PROD_01\","10.105.14.69","UK\purnelb1"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHExtract\PHExtract20190511","10.64.194.150","UK\r0000r11"
"J:\Shares\BG_BGBDW_DTST_02\PHEXTRACT","10.210.116.24","UK\barrep11"
"J:\Shares\BG_BGBDW_DTST_02\QAS\Arrival","10.210.115.62","UK\heathcj1"
